Parameter,Used to simulate,Recovered
$\alpha$,0.03096734347001351,0.019265114549456244
$\beta$,5.8313593914507145,6.584773311407469
$\alpha$,0.5928802707811576,0.7941137334941809
$\beta$,1.1912102174657733,1.1011745357892402
$\alpha$,0.3258099666132048,0.3356371972608161
$\beta$,17.906719487500123,17.672581438333985
$\alpha$,0.6218425942287253,0.7316992754283521
$\beta$,11.746001313596931,19.2886891949408
$\alpha$,0.28118562483177967,0.3069677254810766
$\beta$,7.3730266835174305,8.087309655128054
$\alpha$,0.68256017530705,0.7109334614219869
$\beta$,12.75123220414175,10.881865566929791
$\alpha$,0.7162461489862848,0.7083549901065676
$\beta$,13.232386840159943,12.501212363704276
$\alpha$,0.9503657921056589,0.869490798637989
$\beta$,8.294698662573543,6.682621871919258
$\alpha$,0.08378587007198324,0.035514476102560685
$\beta$,10.996905266367287,12.637441722381903
$\alpha$,0.31090166063955915,0.3223883547206417
$\beta$,16.98482333052126,20.0
$\alpha$,0.8572333423957531,0.8734471892265399
$\beta$,19.50196683411636,18.122026364022528
$\alpha$,0.34832991985182593,0.35855502918001103
$\beta$,16.370294340930215,18.34300772104142
$\alpha$,0.13472567088820075,0.1603845915884495
$\beta$,4.624790785507602,4.595774111723447
$\alpha$,0.6919149200178973,0.6667977072197011
$\beta$,13.024687716942827,11.644615723604963
$\alpha$,0.9155068577253794,0.8263992895884071
$\beta$,14.711038739117749,9.637101814581618
$\alpha$,0.44771937349342694,0.563139684347215
$\beta$,16.343081767480953,20.0
$\alpha$,0.0691270275110849,0.045368194216068414
$\beta$,17.858365466642642,16.154629787151485
$\alpha$,0.4992514692137856,0.4969990404567675
$\beta$,9.334955118034626,12.15047457597315
$\alpha$,0.8259211820542268,0.7972259515975822
$\beta$,7.204653125524142,7.0716158882762965
$\alpha$,0.7329337581738627,0.8003758817713127
$\beta$,12.035683908478736,14.942155370083709
$\alpha$,0.5149592898648483,0.5506261619226002
$\beta$,5.031258963274762,4.56934679260692
$\alpha$,0.7544616594130222,0.7031203036632198
$\beta$,12.235345650101209,10.628019706680648
$\alpha$,0.029118337092938873,0.02814288197599667
$\beta$,8.632190798643997,8.212092960855319
$\alpha$,0.5952991089528412,0.5988934099707239
$\beta$,6.2463786550655875,5.09890048838003
$\alpha$,0.9629869424114551,0.9372747999425071
$\beta$,16.77093648734665,12.383028331250584
$\alpha$,0.6587985428740523,0.6144882875946087
$\beta$,7.633132026228315,6.508852497624856
$\alpha$,0.07374983431843052,0.07260703743497379
$\beta$,19.075027375633024,20.0
$\alpha$,0.8676914952209076,0.899656768095137
$\beta$,7.404448388139711,9.957319739808854
$\alpha$,0.9782417519045318,0.8932481405022866
$\beta$,1.8584817400393496,1.8484852071441369
$\alpha$,0.40276276003156586,0.3665918466580844
$\beta$,13.132791389112448,10.740191242658394
